open_issues,bugs,security_issues,open_prs,recent_commits,risk_score,risk_level
15,7,1,40,11,124.8,Medium
34,10,0,54,44,129.0,Medium
78,4,4,61,48,223.50000000000003,Medium
94,24,6,23,37,354.90000000000003,High
27,20,5,17,35,225.89999999999998,Medium
98,12,6,72,37,361.20000000000005,High
29,11,1,31,2,162.9,Medium
66,11,6,40,22,286.8,High
103,10,7,31,35,314.1,High
32,23,6,33,27,301.5,High
36,6,3,36,0,187.2,Medium
64,14,3,18,28,208.20000000000002,Medium
73,17,3,34,42,244.20000000000002,Medium
110,10,0,37,4,242.7,Medium
7,1,7,55,11,209.70000000000002,Medium
101,0,6,3,48,176.1,Medium
108,17,4,29,23,319.5,High
58,2,2,44,3,180.0,Medium
25,13,5,63,26,261.3,High
105,18,1,5,14,242.7,Medium
116,9,4,36,41,270.0,High
100,2,6,5,3,243.9,Medium
17,8,0,28,12,96.0,Low
58,14,5,16,44,214.8,Medium
95,15,5,67,4,389.7,High
36,8,0,12,33,69.6,Low
108,21,4,50,2,400.20000000000005,High
41,1,7,50,48,198.6,Medium
84,13,6,20,43,265.2,High
10,6,3,0,27,69.6,Low
62,23,4,12,46,247.2,Medium
97,10,3,50,16,286.2,High
98,17,7,23,18,358.5,High
36,6,4,7,27,129.29999999999998,Medium
4,16,4,35,18,203.70000000000002,Medium
63,20,1,10,44,175.8,Medium
46,11,5,20,10,229.2,Medium
102,4,0,55,19,206.09999999999997,Medium
40,13,1,11,5,154.5,Medium
16,18,2,25,47,144.29999999999998,Medium
107,11,3,69,35,309.9,High
101,10,0,61,23,245.1,Medium
22,14,2,74,49,198.59999999999997,Medium
80,18,4,77,26,360.3,High
81,18,6,3,6,310.5,High
108,2,7,72,7,367.20000000000005,High
115,12,0,71,18,294.9,High
62,5,2,58,4,222.59999999999997,Medium
12,14,5,60,30,242.39999999999998,Medium
118,15,1,21,28,247.50000000000003,Medium
85,10,2,53,9,266.7,High
41,20,7,75,1,406.5,High
40,23,2,55,29,269.7,High
56,14,2,18,49,155.39999999999998,Medium
7,16,7,70,29,300.59999999999997,High
6,2,0,35,24,42.900000000000006,Low
36,0,6,36,12,190.79999999999998,Medium
103,7,4,59,8,316.5,High
0,3,2,65,39,104.7,Low
22,8,1,45,13,144.3,Medium
3,5,2,71,2,173.7,Medium
13,12,4,33,44,156.3,Medium
60,18,2,15,1,237.3,Medium
39,16,6,33,41,251.10000000000002,High
15,5,3,65,1,198.3,Medium
89,12,7,30,33,310.2,High
38,2,7,77,26,267.90000000000003,High
117,6,4,38,0,305.4,High
16,8,5,52,12,220.79999999999998,Medium
20,18,4,18,24,202.2,Medium
85,16,6,22,31,301.8,High
61,9,1,71,19,228.89999999999998,Medium
31,17,5,49,27,270.3,High
109,19,4,23,14,334.49999999999994,High
21,3,4,58,22,175.79999999999998,Medium
7,17,3,30,13,193.8,Medium
33,17,7,74,40,330.6,High
75,16,6,56,30,342.0,High
112,17,7,37,16,398.7,High
86,23,1,7,40,221.7,Medium
5,4,3,63,28,144.9,Medium
27,10,0,64,42,138.0,Medium
18,8,2,33,43,103.5,Low
67,3,1,14,12,122.99999999999997,Medium
82,16,5,55,11,353.7,High
50,4,0,57,22,143.1,Medium
89,0,3,54,9,231.0,Medium
46,22,4,20,42,238.79999999999998,Medium
12,4,0,23,43,21.300000000000004,Low
10,16,3,46,24,202.2,Medium
93,8,4,11,36,204.9,Medium
41,16,4,47,38,242.1,Medium
27,8,2,46,47,129.0,Medium
17,13,2,70,40,191.4,Medium
12,17,4,12,35,164.4,Medium
30,1,7,8,8,170.4,Medium
37,10,5,55,21,251.7,High
96,3,4,44,44,218.39999999999998,Medium
33,8,7,7,6,216.9,Medium
35,17,2,27,5,214.5,Medium
107,11,4,27,39,260.09999999999997,High
53,21,0,20,42,169.2,Medium
98,12,0,48,9,250.8,High
52,11,6,52,9,303.59999999999997,High
45,12,4,23,1,231.3,Medium
85,16,3,13,9,260.7,High
34,24,2,16,11,231.60000000000002,Medium
53,19,7,28,42,295.20000000000005,High
24,3,1,59,25,123.30000000000001,Medium
101,0,3,27,15,197.7,Medium
46,16,7,57,11,349.5,High
26,21,4,41,46,235.5,Medium
93,8,1,36,5,225.6,Medium
6,20,0,32,6,168.0,Medium
115,24,5,11,15,370.5,High
79,10,4,76,6,333.6,High
99,14,2,72,31,309.6,High
74,7,0,71,44,184.5,Medium
85,3,7,66,28,311.4,High
104,1,1,27,12,174.9,Medium
78,22,3,3,25,254.10000000000002,High
103,8,6,4,31,248.40000000000003,Medium
83,17,2,14,31,221.40000000000003,Medium
27,21,0,16,25,152.4,Medium
107,6,1,56,25,236.39999999999998,Medium
24,9,2,44,18,163.20000000000002,Medium
10,12,4,71,39,215.7,Medium
67,14,6,27,10,300.9,High
106,0,0,46,37,151.79999999999998,Medium
87,21,3,56,46,313.2,High
30,8,5,25,48,153.9,Medium
113,4,3,51,40,242.10000000000002,Medium
74,23,5,32,49,306.0,High
37,1,6,60,20,224.4,Medium
45,4,5,37,21,198.3,Medium
61,17,5,73,45,320.7,High
12,2,5,5,28,90.30000000000001,Low
7,11,4,32,16,175.20000000000002,Medium
111,10,4,49,10,326.7,High
94,11,5,40,15,310.8,High
67,2,3,47,25,186.89999999999998,Medium
61,24,3,10,36,243.0,Medium
88,17,2,54,37,280.20000000000005,High
117,17,1,5,3,264.29999999999995,High
107,18,4,58,33,355.79999999999995,High
16,10,2,79,1,232.5,Medium
33,22,7,12,41,266.40000000000003,High
7,3,6,64,42,180.0,Medium
38,16,2,43,8,232.5,Medium
36,9,3,27,41,142.5,Medium
42,20,7,41,39,311.09999999999997,High
65,22,7,47,26,375.3,High
21,4,2,66,43,132.6,Medium
12,12,1,8,26,85.2,Low
33,18,0,31,24,165.3,Medium
92,6,0,66,19,222.59999999999997,Medium
19,20,5,34,34,243.0,Medium
112,6,2,77,16,302.7,High
17,12,3,52,26,193.20000000000002,Medium
81,3,0,0,25,85.2,Low
108,19,3,9,10,299.1,High
40,8,4,64,16,244.8,Medium
21,1,7,40,28,183.6,Medium
67,4,7,10,20,221.39999999999998,Medium
98,11,1,18,44,175.8,Medium
59,6,6,70,25,289.8,High
39,4,4,77,3,254.70000000000002,High
22,9,3,14,49,96.60000000000001,Low
115,12,4,7,40,244.5,Medium
111,18,7,45,27,402.3,High
109,24,2,67,14,394.49999999999994,High
98,4,0,66,46,185.4,Medium
23,7,6,60,35,225.60000000000002,Medium
97,23,7,3,2,382.5,High
33,24,0,52,22,235.20000000000002,Medium
108,4,6,52,40,291.6,High
56,24,3,53,5,338.7,High
100,24,1,39,6,333.3,High
102,5,4,60,19,291.59999999999997,High
2,18,5,46,3,265.79999999999995,High
91,11,5,35,46,262.5,High
40,4,4,57,49,170.7,Medium
29,4,0,26,13,82.2,Low
56,15,2,46,35,220.2,Medium
38,15,7,21,20,269.1,High
53,20,7,15,30,296.1,High
41,9,7,58,33,276.59999999999997,High
8,16,2,9,21,129.9,Medium
16,3,7,51,46,184.5,Medium
24,20,4,64,24,288.0,High
50,3,0,65,39,128.7,Medium
14,6,2,69,0,192.3,Medium
110,22,1,38,16,319.8,High
33,8,4,72,12,253.20000000000002,High
69,5,3,51,2,240.9,Medium
80,16,3,46,44,262.2,High
54,0,0,66,25,133.8,Medium
14,3,7,67,17,240.9,Medium
112,18,2,34,39,282.59999999999997,High
77,0,5,33,3,228.29999999999998,Medium
87,18,5,48,39,327.59999999999997,High
82,20,0,68,26,289.2,High
79,5,7,12,47,212.4,Medium
63,2,2,75,15,218.1,Medium
42,9,0,19,30,96.9,Low
67,11,6,1,21,230.7,Medium
114,24,4,71,6,452.09999999999997,High
77,23,6,66,49,378.59999999999997,High
15,22,2,50,17,240.6,Medium
115,15,7,11,10,358.5,High
4,11,0,5,32,39.9,Low
4,24,3,77,4,313.5,High
117,23,2,32,49,303.59999999999997,High
111,8,2,68,1,318.0,High
93,14,6,67,32,365.70000000000005,High
12,19,5,6,14,210.6,Medium
86,13,6,18,28,282.59999999999997,High
119,19,4,23,17,342.9,High
62,9,0,56,7,203.99999999999997,Medium
89,9,0,65,5,252.3,High
57,4,3,61,40,189.89999999999998,Medium
68,17,1,40,48,204.00000000000003,Medium
90,16,3,70,2,360.6,High
9,1,0,34,15,49.8,Low
1,23,1,37,21,187.5,Medium
25,10,6,38,26,223.8,Medium
28,14,5,19,26,204.9,Medium
40,21,3,18,19,232.2,Medium
98,14,1,29,33,223.50000000000003,Medium
21,2,5,78,26,213.0,Medium
9,8,0,47,5,123.30000000000001,Medium
104,3,2,1,28,146.70000000000002,Medium
67,0,2,25,24,125.09999999999998,Medium
9,20,6,58,21,300.6,High
50,15,4,21,35,211.5,Medium
97,24,4,27,0,372.9,High
112,12,3,6,48,211.79999999999998,Medium
8,3,2,0,9,52.800000000000004,Low
35,8,4,45,41,180.3,Medium
31,5,7,37,16,229.5,Medium
73,17,2,53,49,246.3,Medium
34,19,2,24,27,194.4,Medium
110,14,3,72,26,346.8,High
25,18,7,16,42,237.6,Medium
